timestamp_utc,file_path,file_hash,doc_type,doc_code,confidence,pages_count
2026-02-12T13:54:01.130128+00:00,samples\invoice_09.pdf,a9f25eb43d725df0566451cf1c671bdc4595139f671303197efd9080b80c3bf2,invoice,INV-a9f25eb4,1.0000,1
2026-02-12T13:54:01.134332+00:00,samples\invoice_10.pdf,8c0f289e95d389e22f5fb21a6d889dd520420f153028a6bf954e2b7ece2798a8,invoice,INV-8c0f289e,1.0000,1
2026-02-12T13:54:01.144159+00:00,samples\multipage_invoice_5p.pdf,c32cd767abd7d56c437c7a03d287abef3877e9f24c20ead4aa923d875b5cb9fe,invoice,INV-c32cd767,1.0000,5
2026-02-12T13:54:01.152173+00:00,samples\multipage_mixed_6p.pdf,8dca403fd1e42398bbe092fcb2334c09c63faf170bf577ecafb2b7cf8da41696,receipt,RCP-8dca403f,0.7143,6
2026-02-12T13:54:01.156113+00:00,samples\receipt_01.pdf,7c8c52745ceaec5e5d638af77ff47aa63486a63edab2895fce86a19feb487468,receipt,RCP-7c8c5274,1.0000,1
2026-02-12T13:54:01.159685+00:00,samples\receipt_02.pdf,f41f603473a819f37d566218f9808825564f6bfad2e9d7966a3f2005630de91b,receipt,RCP-f41f6034,1.0000,1
2026-02-12T13:54:01.163078+00:00,samples\receipt_03.pdf,6e05911e5c01091061305fa3ed4578f4c1ccb7da1dfeb1c6502c091a05864703,receipt,RCP-6e05911e,1.0000,1
2026-02-12T13:54:01.166399+00:00,samples\receipt_04.pdf,eb36db6080c5b48868e291a90ca76e2bbb1c9249a9fae4760806b4fa45511fe8,receipt,RCP-eb36db60,1.0000,1
2026-02-12T13:54:01.169997+00:00,samples\receipt_05.pdf,7fe89f29c9359cca0345a967fc2e185b821ff0d1b8eda4a715f1931400eff640,receipt,RCP-7fe89f29,1.0000,1
2026-02-12T13:54:01.173720+00:00,samples\receipt_06.pdf,1547d5ac46bf9f0af1d4a9a481475a29940072c19432d31e63eff7039336666a,receipt,RCP-1547d5ac,1.0000,1
2026-02-12T13:54:01.177372+00:00,samples\receipt_07.pdf,0a1cbd7b5392f56bec6391a9d7c594f0908bd288310b77583a634dbc3c92c4ca,receipt,RCP-0a1cbd7b,1.0000,1
2026-02-12T13:54:01.180843+00:00,samples\receipt_08.pdf,e6f102280e0dfe42599b37dc93a362ea5c0709a61dd890636c50f5efda00d932,receipt,RCP-e6f10228,1.0000,1
2026-02-12T13:54:01.184250+00:00,samples\receipt_09.pdf,bd10b28a3a11abb927c80268753710bd3593d3792623d98442c9fdc881e8783a,receipt,RCP-bd10b28a,1.0000,1
2026-02-12T13:54:01.187801+00:00,samples\receipt_10.pdf,9a3b8509d822cfb02ff82213b63989953287eb22b1fb030650fe030fc8a853bc,receipt,RCP-9a3b8509,1.0000,1
